Numero|DataOcorrencia|Natureza|EstadoOcorrencia|Distrito|Concelho|Freguesia|Localidade|Latitude|Longitude|NumeroMeiosTerrestresEnvolvidos|NumeroOperacionaisTerrestresEnvolvidos|NumeroMeiosAereosEnvolvidos|NumeroOperacionaisAereosEnvolvidos
2020180030592|04/07/2020 12:42:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|VISEU|VISEU|Campo|Moure Madalena|40,7050936639203|-7,92469601519282|1|2|0|0
2020010046762|04/07/2020 12:39:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|AVEIRO|SANTA MARIA DA FEIRA|São Miguel do Souto e Mosteirô|SÃO MIGUEL DO SOUTO E MOSTEIRÔ|40,89227103|-8,549941287|0|0|0|0
2020130097323|04/07/2020 12:39:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo|Despacho de 1º Alerta|PORTO|MARCO DE CANAVESES|Sobretâmega|SOBRETÂMEGA|41,19865222|-8,166875804|1|5|0|0
2020140032167|04/07/2020 12:30:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|RIO MAIOR|Alcobertas|ALCOBERTAS|39,417059|-8,911112|0|0|0|0
2020040015387|04/07/2020 12:30:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MOGADOURO|Mogadouro, Valverde, Vale de Porco e Vilar de Rei|MOGADOURO|41,339826|-6,706687|1|3|0|0
2020010046757|04/07/2020 12:29:00|Riscos Mistos / Incêndios Rurais / Povoamento Florestal|Em Resolução|AVEIRO|SANTA MARIA DA FEIRA|Nogueira da Regedoura|NOGUEIRA_REGEDOURA|41,007837|-8,580223|7|21|0|0
2020070012586|04/07/2020 12:28:00|Riscos Mistos / Incêndios Rurais / Agrícola|Conclusão|ÉVORA|ÉVORA|Nossa Senhora da Tourega e Nossa Senhora de Guadalupe|ÉVORA|38,529055|-8,007423|6|23|0|0
2020030044252|04/07/2020 12:27:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|BRAGA|TERRAS DE BOURO|Chamoim e Vilar|CHAMOIM E VILAR|41,72493567|-8,261868491|1|2|0|0
2020140032161|04/07/2020 12:25:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|SANTARÉM|CHAMUSCA|Chamusca e Pinheiro Grande|CHAMUSCA|39,3623721123469|-8,49047695975507|1|2|0|0
2020050015587|04/07/2020 12:24:00|Riscos Mistos / Incêndios Rurais / Agrícola|Conclusão|CASTELO BRANCO|CASTELO BRANCO|Lardosa|Vale Feito|39,98733|-7,424997|2|7|0|0
2020030044253|04/07/2020 12:24:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Chegada ao TO|BRAGA|BRAGA|Braga (Maximinos, Sé e Cividade)|BRAGA (MAXIMINOS, SÉ E CIVIDADE)|41,54600424|-8,435961749|1|2|0|0
2020170014343|04/07/2020 12:21:00|Riscos Mistos / Incêndios Rurais / Mato|Conclusão|VILA REAL|CHAVES|Eiras, São Julião de Montenegro e Cela|Restaurante Miradouro.|41,723509|-7,42793|5|22|0|0
2020120012196|04/07/2020 12:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|MARVÃO|São Salvador da Aramenha|MARVÃO|39,392949|-7,384379|1|4|0|0
2020120012197|04/07/2020 12:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|AVIS|Ervedal|ERVEDAL|39,044551|-7,82122|1|4|0|0
2020160015127|04/07/2020 12:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo|Despacho de 1º Alerta|VIANA DO CASTELO|VILA NOVA DE CERVEIRA|Reboreda e Nogueira|REBOREDA E NOGUEIRA|41,95691866|-8,714497655|0|0|0|0
2020120012198|04/07/2020 12:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|PONTE DE SOR|Longomel|Longomel|39,332224|-7,998562|1|3|0|0
2020140032168|04/07/2020 12:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|OURÉM|Urqueira|URQUEIRA|39,727692|-8,591506|0|0|0|0
2020140032154|04/07/2020 11:58:00|Riscos Mistos / Incêndios Rurais / Mato|Em Resolução|SANTARÉM|MAÇÃO|Ortiga|ORTIGA|39,478518|-8,029005|10|39|0|0
2020030044244|04/07/2020 11:58:00|Riscos Tecnológicos / Acidentes / Despiste|Chegada ao TO|BRAGA|BRAGA|Nogueira, Fraião e Lamaçães|EN 101|41,536481|-8,423425|0|0|0|0
2020010046750|04/07/2020 11:57:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|AVEIRO|SÃO JOÃO DA MADEIRA|São João da Madeira|Rua da Volta|40,895631508081|-8,490365400898|1|2|0|0
2020120012195|04/07/2020 11:56:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|PONTE DE SOR|Montargil|MONTARGIL|39,078287|-8,167765|1|3|0|0
2020040015379|04/07/2020 11:51:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|VIMIOSO|Santulhão|SANTULHÃO|41,565562|-6,616623|1|5|0|0
2020040015376|04/07/2020 11:51:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MOGADOURO|Castro Vicente|CASTRO VICENTE|41,379185|-6,837317|1|2|0|0
2020040015377|04/07/2020 11:51:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MIRANDA DO DOURO|Ifanes e Paradela|São Martinho|41,55701|-6,223688|1|4|0|0
2020060025388|04/07/2020 11:51:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais|Chegada ao TO|COIMBRA|COIMBRA|Ceira|Cabouco|40,175952|-8,376144|0|0|0|0
2020020014431|04/07/2020 11:49:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|BEJA|OURIQUE|Ourique|Ourique|37,6449889503809|-8,24451660073044|1|2|0|0
2020080025214|04/07/2020 11:41:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação|Em Curso|FARO|TAVIRA|Tavira (Santa Maria e Santiago)|Tavira (Santa Maria e Santiago)|37,19522531|-7,665155237|0|0|0|0
2020170014340|04/07/2020 11:39:00|Riscos Mistos / Incêndios Rurais / Mato|Conclusão|VILA REAL|VALPAÇOS|Vales|VALES|41,47295|-7,359182|1|4|0|0
2020090019605|04/07/2020 11:34:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|GUARDA|ALMEIDA|Vilar Formoso|Vilar Formoso|40,606578|-6,833442|2|4|0|0
2020110119339|04/07/2020 11:30:00|Riscos Tecnológicos / Acidentes / Colisão rodoviária|Despacho de 1º Alerta|LISBOA|OEIRAS|Algés, Linda-a-Velha e Cruz Quebrada-Dafundo|Cruz Quebrada|38,699|-9,238008|2|6|0|0
2020150052219|04/07/2020 11:27:00|Riscos Mistos / Incêndios Rurais / Mato|Conclusão|SETÚBAL|SESIMBRA|Sesimbra (Castelo)|Lagoa de Albufeira|38,504287|-9,17941|5|17|0|0
2020110119323|04/07/2020 11:23:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|LISBOA|MAFRA|Ericeira|Fonte Boa dos Nabos|38,9750819806114|-9,39434600042366|1|2|0|0
